Rank1,YearType,Year,Value,Unit,Attribute,Commodity,CommodityType
38,Market year,2019/20,2.02,Dollars,Variable cost of production (per bushel),Corn,Crops
39,Market year,2019/20,167.5,Bushels per acre,Yield (bushel/harvested acre),Corn,Crops
40,Market year,2019/20,0.8,Million acres,Harvested acres,Oats,Crops
41,Market year,2019/20,2.8,Million acres,Planted acres,Oats,Crops
42,Market year,2019/20,38,Million bushels,Beginning stocks,Oats,Crops
43,Market year,2019/20,37,Million bushels,Ending stocks,Oats,Crops
44,Market year,2019/20,92,Million bushels,Imports,Oats,Crops
45,Market year,2019/20,53,Million bushels,Production,Oats,Crops
46,Market year,2019/20,183,Million bushels,Total supply,Oats,Crops
47,Market year,2019/20,144,Million bushels,Domestic use,Oats,Crops
48,Market year,2019/20,81,Million bushels,"Food, seed, & industrial",Oats,Crops
49,Market year,2019/20,63,Million bushels,Feed & residual,Oats,Crops
50,Market year,2019/20,146,Million bushels,Total use,Oats,Crops
51,Market year,2019/20,2,Million bushels,Exports,Oats,Crops
52,Market year,2019/20,52,Dollars per acre,Net returns,Oats,Crops
53,Market year,2019/20,2,Dollars per bushel,Loan rate,Oats,Crops
54,Market year,2019/20,2.82,Dollars per bushel,Farm price,Oats,Crops
55,Market year,2019/20,25.1,Percent,"Stocks/use ratio, percent",Oats,Crops
56,Market year,2019/20,129,Dollars,Variable cost of production (per acre),Oats,Crops
57,Market year,2019/20,2,Dollars,Variable cost of production (per bushel),Oats,Crops
58,Market year,2019/20,64.3,Bushels per acre,Yield (bushel/harvested acre),Oats,Crops
59,Market year,2019/20,2472,Thousand acres,Harvested acres,Rice,Crops
60,Market year,2019/20,2540,Thousand acres,Planted acres,Rice,Crops
61,Market year,2019/20,415,Dollars per acre,Net returns,Rice,Crops
62,Market year,2019/20,12,Percent,"Stocks/use ratio, percent",Rice,Crops
63,Market year,2019/20,7,Dollars per hundredweight,Loan rate,Rice,Crops
64,Market year,2019/20,13.2,Dollars per hundredweight,Farm price,Rice,Crops
65,Market year,2019/20,571,Dollars,Variable cost of production (per acre),Rice,Crops
66,Market year,2019/20,7,Dollars,Variable cost of production (per hundredweight),Rice,Crops
67,Market year,2019/20,44.9,Million hundredweight,Beginning stocks,Rice,Crops
68,Market year,2019/20,28.7,Million hundredweight,Ending stocks,Rice,Crops
69,Market year,2019/20,70,Million hundredweight,"Milling rate, percent",Rice,Crops
70,Market year,2019/20,37.3,Million hundredweight,Imports,Rice,Crops
71,Market year,2019/20,184.7,Million hundredweight,Production,Rice,Crops
72,Market year,2019/20,266.8,Million hundredweight,Total supply,Rice,Crops
73,Market year,2019/20,144,Million hundredweight,Domestic use & residual,Rice,Crops
74,Market year,2019/20,238.2,Million hundredweight,Total use,Rice,Crops
75,Market year,2019/20,94.2,Million hundredweight,Exports,Rice,Crops
76,Market year,2019/20,7471,Pounds per acre,Yield (pounds/harvested acre),Rice,Crops
77,Market year,2019/20,4.7,Million acres,Harvested acres,Sorghum,Crops
78,Market year,2019/20,5.3,Million acres,Planted acres,Sorghum,Crops
79,Market year,2019/20,64,Million bushels,Beginning stocks,Sorghum,Crops
80,Market year,2019/20,29,Million bushels,Ending stocks,Sorghum,Crops
81,Market year,2019/20,0,Million bushels,Imports,Sorghum,Crops
82,Market year,2019/20,341,Million bushels,Production,Sorghum,Crops
83,Market year,2019/20,405,Million bushels,Total supply,Sorghum,Crops
84,Market year,2019/20,172,Million bushels,Domestic use,Sorghum,Crops
85,Market year,2019/20,75,Million bushels,"Food, seed, & industrial",Sorghum,Crops
86,Market year,2019/20,97,Million bushels,Feed & residual,Sorghum,Crops
87,Market year,2019/20,376,Million bushels,Total use,Sorghum,Crops
88,Market year,2019/20,204,Million bushels,Exports,Sorghum,Crops
89,Market year,2019/20,113,Dollars per acre,Net returns,Sorghum,Crops
90,Market year,2019/20,2.2,Dollars per bushel,Loan rate,Sorghum,Crops
91,Market year,2019/20,3.34,Dollars per bushel,Farm price,Sorghum,Crops
92,Market year,2019/20,7.9,Percent,"Stocks/use ratio, percent",Sorghum,Crops
93,Market year,2019/20,131,Dollars,Variable cost of production (per acre),Sorghum,Crops
94,Market year,2019/20,1.79,Dollars,Variable cost of production (per bushel),Sorghum,Crops
95,Market year,2019/20,73,Bushels per acre,Yield (bushel/harvested acre),Sorghum,Crops
96,Market year,2019/20,300,Dollars per short ton,Soybean meal price (dollar/ton),Soybean meal,Crops
97,Market year,2019/20,47,Pounds per bushel,"Crushing yields, soybean meal",Soybean meal,Crops
98,Market year,2019/20,402,Thousand short tons,Beginning stocks,Soybean meal,Crops
99,Market year,2019/20,400,Thousand short tons,Ending Stocks,Soybean meal,Crops
100,Market year,2019/20,51650,Thousand short tons,Total use,Soybean meal,Crops
101,Market year,2019/20,620,Thousand short tons,Imports,Soybean meal,Crops
102,Market year,2019/20,51028,Thousand short tons,Production,Soybean meal,Crops
103,Market year,2019/20,52050,Thousand short tons,Total supply,Soybean meal,Crops
104,Market year,2019/20,37750,Thousand short tons,Domestic use,Soybean meal,Crops
105,Market year,2019/20,13900,Thousand short tons,Exports,Soybean meal,Crops
106,Market year,2019/20,0,Dollars per pound,Soybean oil price (dollar/pound),Soybean oil,Crops
107,Market year,2019/20,11,Pounds per bushel,"Crushing yields, soybean oil",Soybean oil,Crops
108,Market year,2019/20,1775,Million pounds,Beginning stocks,Soybean oil,Crops
109,Market year,2019/20,1740,Million pounds,Ending Stocks,Soybean oil,Crops
110,Market year,2019/20,25250,Million pounds,Total use,Soybean oil,Crops
111,Market year,2019/20,325,Million pounds,Imports,Soybean oil,Crops
112,Market year,2019/20,24890,Million pounds,Production,Soybean oil,Crops
113,Market year,2019/20,26990,Million pounds,Total supply,Soybean oil,Crops
114,Market year,2019/20,22450,Million pounds,Domestic use,Soybean oil,Crops
115,Market year,2019/20,7850,Million pounds,"Soybean oil, for methyl ester",Soybean oil,Crops
116,Market year,2019/20,2800,Million pounds,Exports,Soybean oil,Crops
117,Market year,2019/20,74.9,Million acres,Harvested acres,Soybeans,Crops
118,Market year,2019/20,76.1,Million acres,Planted acres,Soybeans,Crops
119,Market year,2019/20,909,Million bushels,Beginning stocks,Soybeans,Crops
120,Market year,2019/20,523,Million bushels,Ending Stocks,Soybeans,Crops
121,Market year,2019/20,15,Million bushels,Imports,Soybeans,Crops
122,Market year,2019/20,3552,Million bushels,Production,Soybeans,Crops
123,Market year,2019/20,4476,Million bushels,Total supply,Soybeans,Crops
124,Market year,2019/20,2165,Million bushels,Crush,Soybeans,Crops
125,Market year,2019/20,112,Million bushels,Seed and residual,Soybeans,Crops
126,Market year,2019/20,3953,Million bushels,Total use,Soybeans,Crops
127,Market year,2019/20,1676,Million bushels,Exports,Soybeans,Crops
128,Market year,2019/20,244,Dollars per acre,Net returns,Soybeans,Crops
129,Market year,2019/20,6.2,Dollars per bushel,Loan rate,Soybeans,Crops
130,Market year,2019/20,1.87,Dollars per bushel,Crush margin (dollar/bushel),Soybeans,Crops
131,Market year,2019/20,8.57,Dollars per bushel,Farm price,Soybeans,Crops
132,Market year,2019/20,13.2,Percent,"Stocks/use ratio, percent",Soybeans,Crops
133,Market year,2019/20,162,Dollars,Variable cost of production (per acre),Soybeans,Crops
134,Market year,2019/20,3.43,Dollars,Variable cost of production (per bushel),Soybeans,Crops
135,Market year,2019/20,47.4,Bushels per acre,Yield (bushel/harvested acre),Soybeans,Crops
136,Market year,2019/20,11.4,Million acres,Harvested acres,Upland Cotton,Crops
137,Market year,2019/20,13.5,Million acres,Planted acres,Upland Cotton,Crops
138,Market year,2019/20,4636,Thousand bales,Beginning stocks,Upland Cotton,Crops
139,Market year,2019/20,6868,Thousand bales,Ending stocks,Upland Cotton,Crops
140,Market year,2019/20,0,Thousand bales,Imports,Upland Cotton,Crops
141,Market year,2019/20,19227,Thousand bales,Production,Upland Cotton,Crops
142,Market year,2019/20,23863,Thousand bales,Total supply,Upland Cotton,Crops
143,Market year,2019/20,2135,Thousand bales,Domestic use,Upland Cotton,Crops
144,Market year,2019/20,17156,Thousand bales,Total use,Upland Cotton,Crops
145,Market year,2019/20,15021,Thousand bales,Exports,Upland Cotton,Crops
146,Market year,2019/20,122,Dollars per acre,Net returns,Upland Cotton,Crops
147,Market year,2019/20,40,Percent,"Stocks/use ratio, percent",Upland Cotton,Crops
148,Market year,2019/20,0.52,Dollars per pound,Loan rate,Upland Cotton,Crops
149,Market year,2019/20,0.596,Dollars per pound,Farm price,Upland Cotton,Crops
150,Market year,2019/20,442,Dollars,Variable cost of production (per acre),Upland Cotton,Crops
151,Market year,2019/20,1,Dollars,Variable cost of production (per pound),Upland Cotton,Crops
152,Market year,2019/20,810,Pounds per acre,Yield (pounds/harvested acre),Upland Cotton,Crops
153,Market year,2019/20,37.4,Million acres,Harvested acres,Wheat,Crops
154,Market year,2019/20,45.5,Million acres,Planted acres,Wheat,Crops
155,Market year,2019/20,1080,Million bushels,Beginning stocks,Wheat,Crops
156,Market year,2019/20,1028,Million bushels,Ending stocks,Wheat,Crops
157,Market year,2019/20,105,Million bushels,Imports,Wheat,Crops
158,Market year,2019/20,1932,Million bushels,Production,Wheat,Crops
159,Market year,2019/20,3117,Million bushels,Total supply,Wheat,Crops
160,Market year,2019/20,1123,Million bushels,Domestic use,Wheat,Crops
161,Market year,2019/20,962,Million bushels,Food,Wheat,Crops
162,Market year,2019/20,102,Million bushels,Feed & residual,Wheat,Crops
163,Market year,2019/20,60,Million bushels,Seed,Wheat,Crops
164,Market year,2019/20,2089,Million bushels,Total use,Wheat,Crops
165,Market year,2019/20,965,Million bushels,Exports,Wheat,Crops
166,Market year,2019/20,105,Dollars per acre,Net returns,Wheat,Crops
167,Market year,2019/20,3.38,Dollars per bushel,Loan rate,Wheat,Crops
168,Market year,2019/20,4.58,Dollars per bushel,Farm price,Wheat,Crops
169,Market year,2019/20,49.2,Percent,"Stocks/use ratio, percent",Wheat,Crops
170,Market year,2019/20,132,Dollars,Variable cost of production (per acre),Wheat,Crops
171,Market year,2019/20,2.56,Dollars,Variable cost of production (per bushel),Wheat,Crops
172,Market year,2019/20,51.7,Bushels per acre,Yield (bushel/harvested acre),Wheat,Crops
173,Market year,2020/21,2.1,Million acres,Harvested acres,Barley,Crops
174,Market year,2020/21,2.6,Million acres,Planted acres,Barley,Crops
175,Market year,2020/21,80,Million bushels,Beginning stocks,Barley,Crops
176,Market year,2020/21,79,Million bushels,Ending stocks,Barley,Crops
177,Market year,2020/21,7,Million bushels,Imports,Barley,Crops
178,Market year,2020/21,165,Million bushels,Production,Barley,Crops
179,Market year,2020/21,253,Million bushels,Total supply,Barley,Crops
180,Market year,2020/21,168,Million bushels,Domestic use,Barley,Crops
181,Market year,2020/21,143,Million bushels,"Food, seed, & industrial",Barley,Crops
182,Market year,2020/21,25,Million bushels,Feed & residual,Barley,Crops
183,Market year,2020/21,174,Million bushels,Total use,Barley,Crops
184,Market year,2020/21,6,Million bushels,Exports,Barley,Crops
185,Market year,2020/21,175,Dollars per acre,Net returns,Barley,Crops
186,Market year,2020/21,2.5,Dollars per bushel,Loan rate,Barley,Crops
187,Market year,2020/21,4.55,Dollars per bushel,Farm price,Barley,Crops
188,Market year,2020/21,45.2,Percent,"Stocks/use ratio, percent",Barley,Crops
189,Market year,2020/21,177,Dollars,Variable cost of production (per acre),Barley,Crops
190,Market year,2020/21,2.29,Dollars,Variable cost of production (per bushel),Barley,Crops
191,Market year,2020/21,77.5,Bushels per acre,Yield (bushel/harvested acre),Barley,Crops
192,Market year,2020/21,82.5,Million acres,Harvested acres,Corn,Crops
193,Market year,2020/21,91,Million acres,Planted acres,Corn,Crops
194,Market year,2020/21,1995,Million bushels,Beginning stocks,Corn,Crops
195,Market year,2020/21,2167,Million bushels,Ending stocks,Corn,Crops
196,Market year,2020/21,25,Million bushels,Imports,Corn,Crops
197,Market year,2020/21,14722,Million bushels,Production,Corn,Crops
198,Market year,2020/21,16742,Million bushels,Total supply,Corn,Crops
199,Market year,2020/21,12250,Million bushels,Domestic use,Corn,Crops
200,Market year,2020/21,5050,Million bushels,Ethanol and by-products,Corn,Crops
201,Market year,2020/21,6475,Million bushels,"Food, seed, & industrial",Corn,Crops
202,Market year,2020/21,5775,Million bushels,Feed & residual,Corn,Crops
203,Market year,2020/21,14575,Million bushels,Total use,Corn,Crops
204,Market year,2020/21,2325,Million bushels,Exports,Corn,Crops
205,Market year,2020/21,301,Dollars per acre,Net returns,Corn,Crops
206,Market year,2020/21,2.2,Dollars per bushel,Loan rate,Corn,Crops
207,Market year,2020/21,3.6,Dollars per bushel,Farm price,Corn,Crops
208,Market year,2020/21,14.9,Percent,"Stocks/use ratio, percent",Corn,Crops
209,Market year,2020/21,341,Dollars,Variable cost of production (per acre),Corn,Crops
210,Market year,2020/21,1.91,Dollars,Variable cost of production (per bushel),Corn,Crops
211,Market year,2020/21,178.4,Bushels per acre,Yield (bushel/harvested acre),Corn,Crops
212,Market year,2020/21,1,Million acres,Harvested acres,Oats,Crops
213,Market year,2020/21,3,Million acres,Planted acres,Oats,Crops
214,Market year,2020/21,37,Million bushels,Beginning stocks,Oats,Crops
215,Market year,2020/21,40,Million bushels,Ending stocks,Oats,Crops
216,Market year,2020/21,94,Million bushels,Imports,Oats,Crops
217,Market year,2020/21,65,Million bushels,Production,Oats,Crops
218,Market year,2020/21,196,Million bushels,Total supply,Oats,Crops
219,Market year,2020/21,154,Million bushels,Domestic use,Oats,Crops
220,Market year,2020/21,79,Million bushels,"Food, seed, & industrial",Oats,Crops
221,Market year,2020/21,75,Million bushels,Feed & residual,Oats,Crops
222,Market year,2020/21,156,Million bushels,Total use,Oats,Crops
223,Market year,2020/21,2,Million bushels,Exports,Oats,Crops
224,Market year,2020/21,46,Dollars per acre,Net returns,Oats,Crops
225,Market year,2020/21,2,Dollars per bushel,Loan rate,Oats,Crops
226,Market year,2020/21,2.7,Dollars per bushel,Farm price,Oats,Crops
227,Market year,2020/21,25.7,Percent,"Stocks/use ratio, percent",Oats,Crops
228,Market year,2020/21,130,Dollars,Variable cost of production (per acre),Oats,Crops
229,Market year,2020/21,1.99,Dollars,Variable cost of production (per bushel),Oats,Crops
230,Market year,2020/21,65.1,Bushels per acre,Yield (bushel/harvested acre),Oats,Crops
231,Market year,2020/21,2991,Thousand acres,Harvested acres,Rice,Crops
232,Market year,2020/21,3037,Thousand acres,Planted acres,Rice,Crops
233,Market year,2020/21,395,Dollars per acre,Net returns,Rice,Crops
234,Market year,2020/21,19.5,Percent,"Stocks/use ratio, percent",Rice,Crops
235,Market year,2020/21,7,Dollars per hundredweight,Loan rate,Rice,Crops
236,Market year,2020/21,12.8,Dollars per hundredweight,Farm price,Rice,Crops
237,Market year,2020/21,574,Dollars,Variable cost of production (per acre),Rice,Crops
238,Market year,2020/21,8,Dollars,Variable cost of production (per hundredweight),Rice,Crops
239,Market year,2020/21,28.7,Million hundredweight,Beginning stocks,Rice,Crops
240,Market year,2020/21,47.7,Million hundredweight,Ending stocks,Rice,Crops
241,Market year,2020/21,70,Million hundredweight,"Milling rate, percent",Rice,Crops
242,Market year,2020/21,37.3,Million hundredweight,Imports,Rice,Crops
243,Market year,2020/21,226.3,Million hundredweight,Production,Rice,Crops
244,Market year,2020/21,292.2,Million hundredweight,Total supply,Rice,Crops
245,Market year,2020/21,145.5,Million hundredweight,Domestic use & residual,Rice,Crops
246,Market year,2020/21,244.5,Million hundredweight,Total use,Rice,Crops
247,Market year,2020/21,99,Million hundredweight,Exports,Rice,Crops
248,Market year,2020/21,7567,Pounds per acre,Yield (pounds/harvested acre),Rice,Crops
249,Market year,2020/21,5,Million acres,Harvested acres,Sorghum,Crops
250,Market year,2020/21,5.8,Million acres,Planted acres,Sorghum,Crops
251,Market year,2020/21,29,Million bushels,Beginning stocks,Sorghum,Crops
252,Market year,2020/21,30,Million bushels,Ending stocks,Sorghum,Crops
253,Market year,2020/21,0,Million bushels,Imports,Sorghum,Crops
254,Market year,2020/21,371,Million bushels,Production,Sorghum,Crops
255,Market year,2020/21,400,Million bushels,Total supply,Sorghum,Crops
256,Market year,2020/21,110,Million bushels,Domestic use,Sorghum,Crops
257,Market year,2020/21,40,Million bushels,"Food, seed, & industrial",Sorghum,Crops
258,Market year,2020/21,70,Million bushels,Feed & residual,Sorghum,Crops
259,Market year,2020/21,370,Million bushels,Total use,Sorghum,Crops
260,Market year,2020/21,260,Million bushels,Exports,Sorghum,Crops
261,Market year,2020/21,135,Dollars per acre,Net returns,Sorghum,Crops
262,Market year,2020/21,2.2,Dollars per bushel,Loan rate,Sorghum,Crops
263,Market year,2020/21,3.6,Dollars per bushel,Farm price,Sorghum,Crops
264,Market year,2020/21,8.1,Percent,"Stocks/use ratio, percent",Sorghum,Crops
265,Market year,2020/21,132,Dollars,Variable cost of production (per acre),Sorghum,Crops
266,Market year,2020/21,1.78,Dollars,Variable cost of production (per bushel),Sorghum,Crops
267,Market year,2020/21,74.1,Bushels per acre,Yield (bushel/harvested acre),Sorghum,Crops
268,Market year,2020/21,335,Dollars per short ton,Soybean meal price (dollar/ton),Soybean meal,Crops
269,Market year,2020/21,47,Pounds per bushel,"Crushing yields, soybean meal",Soybean meal,Crops
270,Market year,2020/21,400,Thousand short tons,Beginning stocks,Soybean meal,Crops
271,Market year,2020/21,400,Thousand short tons,Ending Stocks,Soybean meal,Crops
272,Market year,2020/21,51800,Thousand short tons,Total use,Soybean meal,Crops
273,Market year,2020/21,400,Thousand short tons,Imports,Soybean meal,Crops
274,Market year,2020/21,51400,Thousand short tons,Production,Soybean meal,Crops
275,Market year,2020/21,52200,Thousand short tons,Total supply,Soybean meal,Crops
276,Market year,2020/21,38300,Thousand short tons,Domestic use,Soybean meal,Crops
277,Market year,2020/21,13500,Thousand short tons,Exports,Soybean meal,Crops
278,Market year,2020/21,0,Dollars per pound,Soybean oil price (dollar/pound),Soybean oil,Crops
279,Market year,2020/21,12,Pounds per bushel,"Crushing yields, soybean oil",Soybean oil,Crops
280,Market year,2020/21,1740,Million pounds,Beginning stocks,Soybean oil,Crops
281,Market year,2020/21,1755,Million pounds,Ending Stocks,Soybean oil,Crops
282,Market year,2020/21,25600,Million pounds,Total use,Soybean oil,Crops
283,Market year,2020/21,350,Million pounds,Imports,Soybean oil,Crops
284,Market year,2020/21,25265,Million pounds,Production,Soybean oil,Crops
285,Market year,2020/21,27355,Million pounds,Total supply,Soybean oil,Crops
286,Market year,2020/21,23000,Million pounds,Domestic use,Soybean oil,Crops
287,Market year,2020/21,8100,Million pounds,"Soybean oil, for methyl ester",Soybean oil,Crops
288,Market year,2020/21,2600,Million pounds,Exports,Soybean oil,Crops
289,Market year,2020/21,82.3,Million acres,Harvested acres,Soybeans,Crops
290,Market year,2020/21,83.1,Million acres,Planted acres,Soybeans,Crops
291,Market year,2020/21,523,Million bushels,Beginning stocks,Soybeans,Crops
292,Market year,2020/21,290,Million bushels,Ending Stocks,Soybeans,Crops
293,Market year,2020/21,15,Million bushels,Imports,Soybeans,Crops
294,Market year,2020/21,4268,Million bushels,Production,Soybeans,Crops
295,Market year,2020/21,4806,Million bushels,Total supply,Soybeans,Crops
296,Market year,2020/21,2180,Million bushels,Crush,Soybeans,Crops
297,Market year,2020/21,136,Million bushels,Seed and residual,Soybeans,Crops
298,Market year,2020/21,4516,Million bushels,Total use,Soybeans,Crops
299,Market year,2020/21,2200,Million bushels,Exports,Soybeans,Crops
300,Market year,2020/21,345,Dollars per acre,Net returns,Soybeans,Crops
301,Market year,2020/21,6.2,Dollars per bushel,Loan rate,Soybeans,Crops
302,Market year,2020/21,1.86,Dollars per bushel,Crush margin (dollar/bushel),Soybeans,Crops
303,Market year,2020/21,9.8,Dollars per bushel,Farm price,Soybeans,Crops
304,Market year,2020/21,6.4,Percent,"Stocks/use ratio, percent",Soybeans,Crops
305,Market year,2020/21,164,Dollars,Variable cost of production (per acre),Soybeans,Crops
306,Market year,2020/21,3.15,Dollars,Variable cost of production (per bushel),Soybeans,Crops
307,Market year,2020/21,51.9,Bushels per acre,Yield (bushel/harvested acre),Soybeans,Crops
308,Market year,2020/21,8.8,Million acres,Harvested acres,Upland Cotton,Crops
309,Market year,2020/21,11.9,Million acres,Planted acres,Upland Cotton,Crops
310,Market year,2020/21,6868,Thousand bales,Beginning stocks,Upland Cotton,Crops
311,Market year,2020/21,6940,Thousand bales,Ending stocks,Upland Cotton,Crops
312,Market year,2020/21,0,Thousand bales,Imports,Upland Cotton,Crops
313,Market year,2020/21,16500,Thousand bales,Production,Upland Cotton,Crops
314,Market year,2020/21,23368,Thousand bales,Total supply,Upland Cotton,Crops
315,Market year,2020/21,2480,Thousand bales,Domestic use,Upland Cotton,Crops
316,Market year,2020/21,16430,Thousand bales,Total use,Upland Cotton,Crops
317,Market year,2020/21,13950,Thousand bales,Exports,Upland Cotton,Crops
318,Market year,2020/21,205,Dollars per acre,Net returns,Upland Cotton,Crops
319,Market year,2020/21,42.2,Percent,"Stocks/use ratio, percent",Upland Cotton,Crops
320,Market year,2020/21,0.52,Dollars per pound,Loan rate,Upland Cotton,Crops
321,Market year,2020/21,0.61,Dollars per pound,Farm price,Upland Cotton,Crops
322,Market year,2020/21,459,Dollars,Variable cost of production (per acre),Upland Cotton,Crops
323,Market year,2020/21,1,Dollars,Variable cost of production (per pound),Upland Cotton,Crops
324,Market year,2020/21,899,Pounds per acre,Yield (pounds/harvested acre),Upland Cotton,Crops
325,Market year,2020/21,36.7,Million acres,Harvested acres,Wheat,Crops
326,Market year,2020/21,44.3,Million acres,Planted acres,Wheat,Crops
327,Market year,2020/21,1028,Million bushels,Beginning stocks,Wheat,Crops
328,Market year,2020/21,883,Million bushels,Ending stocks,Wheat,Crops
329,Market year,2020/21,125,Million bushels,Imports,Wheat,Crops
330,Market year,2020/21,1826,Million bushels,Production,Wheat,Crops
331,Market year,2020/21,2979,Million bushels,Total supply,Wheat,Crops
332,Market year,2020/21,1121,Million bushels,Domestic use,Wheat,Crops
333,Market year,2020/21,960,Million bushels,Food,Wheat,Crops
334,Market year,2020/21,100,Million bushels,Feed & residual,Wheat,Crops
335,Market year,2020/21,61,Million bushels,Seed,Wheat,Crops
336,Market year,2020/21,2096,Million bushels,Total use,Wheat,Crops
337,Market year,2020/21,975,Million bushels,Exports,Wheat,Crops
338,Market year,2020/21,101,Dollars per acre,Net returns,Wheat,Crops
339,Market year,2020/21,3.38,Dollars per bushel,Loan rate,Wheat,Crops
340,Market year,2020/21,4.7,Dollars per bushel,Farm price,Wheat,Crops
341,Market year,2020/21,42.1,Percent,"Stocks/use ratio, percent",Wheat,Crops
342,Market year,2020/21,132,Dollars,Variable cost of production (per acre),Wheat,Crops
343,Market year,2020/21,2.66,Dollars,Variable cost of production (per bushel),Wheat,Crops
344,Market year,2020/21,49.7,Bushels per acre,Yield (bushel/harvested acre),Wheat,Crops
345,Market year,2021/22,2.2,Million acres,Harvested acres,Barley,Crops
346,Market year,2021/22,2.6,Million acres,Planted acres,Barley,Crops
347,Market year,2021/22,79,Million bushels,Beginning stocks,Barley,Crops
348,Market year,2021/22,80,Million bushels,Ending stocks,Barley,Crops
349,Market year,2021/22,10,Million bushels,Imports,Barley,Crops
350,Market year,2021/22,169,Million bushels,Production,Barley,Crops
351,Market year,2021/22,258,Million bushels,Total supply,Barley,Crops
352,Market year,2021/22,173,Million bushels,Domestic use,Barley,Crops
353,Market year,2021/22,143,Million bushels,"Food, seed, & industrial",Barley,Crops
354,Market year,2021/22,30,Million bushels,Feed & residual,Barley,Crops
355,Market year,2021/22,178,Million bushels,Total use,Barley,Crops
356,Market year,2021/22,5,Million bushels,Exports,Barley,Crops
357,Market year,2021/22,177,Dollars per acre,Net returns,Barley,Crops
358,Market year,2021/22,2.5,Dollars per bushel,Loan rate,Barley,Crops
359,Market year,2021/22,4.6,Dollars per bushel,Farm price,Barley,Crops
360,Market year,2021/22,44.9,Percent,"Stocks/use ratio, percent",Barley,Crops
361,Market year,2021/22,176,Dollars,Variable cost of production (per acre),Barley,Crops
362,Market year,2021/22,2.29,Dollars,Variable cost of production (per bushel),Barley,Crops
363,Market year,2021/22,76.8,Bushels per acre,Yield (bushel/harvested acre),Barley,Crops
364,Market year,2021/22,82.5,Million acres,Harvested acres,Corn,Crops
365,Market year,2021/22,90,Million acres,Planted acres,Corn,Crops
366,Market year,2021/22,2167,Million bushels,Beginning stocks,Corn,Crops
367,Market year,2021/22,2257,Million bushels,Ending stocks,Corn,Crops
368,Market year,2021/22,25,Million bushels,Imports,Corn,Crops
369,Market year,2021/22,14890,Million bushels,Production,Corn,Crops
370,Market year,2021/22,17082,Million bushels,Total supply,Corn,Crops
371,Market year,2021/22,12500,Million bushels,Domestic use,Corn,Crops
372,Market year,2021/22,5125,Million bushels,Ethanol and by-products,Corn,Crops
373,Market year,2021/22,6550,Million bushels,"Food, seed, & industrial",Corn,Crops
374,Market year,2021/22,5950,Million bushels,Feed & residual,Corn,Crops
375,Market year,2021/22,14825,Million bushels,Total use,Corn,Crops
376,Market year,2021/22,2325,Million bushels,Exports,Corn,Crops
377,Market year,2021/22,321,Dollars per acre,Net returns,Corn,Crops
